Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
73	Spectrogram 1	1	3010.72	3015.771	500	1600	S17_20180306_080003	SVM	0.709	female.gibbon
74	Spectrogram 1	1	3010.72	3015.771	500	1600	S17_20180306_080003	RF	0.658	female.gibbon
75	Spectrogram 1	1	3057.912	3066.272	500	1600	S17_20180306_080003	SVM	0.757	female.gibbon
76	Spectrogram 1	1	3057.912	3066.272	500	1600	S17_20180306_080003	RF	0.594	female.gibbon
77	Spectrogram 1	1	3106.844	3119.534	500	1600	S17_20180306_080003	SVM	0.303	female.gibbon
78	Spectrogram 1	1	3106.844	3119.534	500	1600	S17_20180306_080003	RF	0.252	female.gibbon
79	Spectrogram 1	1	3130.104	3137.495	500	1600	S17_20180306_080003	SVM	0.679	female.gibbon
80	Spectrogram 1	1	3130.104	3137.495	500	1600	S17_20180306_080003	RF	0.638	female.gibbon
81	Spectrogram 1	1	3151.995	3159.625	500	1600	S17_20180306_080003	SVM	0.517	female.gibbon
82	Spectrogram 1	1	3151.995	3159.625	500	1600	S17_20180306_080003	RF	0.318	female.gibbon
83	Spectrogram 1	1	3179.576	3188.476	500	1600	S17_20180306_080003	SVM	0.411	female.gibbon
84	Spectrogram 1	1	3179.576	3188.476	500	1600	S17_20180306_080003	RF	0.606	female.gibbon
85	Spectrogram 1	1	3247.268	3261.139	500	1600	S17_20180306_080003	SVM	0.383	female.gibbon
86	Spectrogram 1	1	3247.268	3261.139	500	1600	S17_20180306_080003	RF	0.386	female.gibbon
87	Spectrogram 1	1	3307.52	3313.81	500	1600	S17_20180306_080003	SVM	0.491	female.gibbon
88	Spectrogram 1	1	3307.52	3313.81	500	1600	S17_20180306_080003	RF	0.566	female.gibbon
89	Spectrogram 1	1	3344.151	3349.782	500	1600	S17_20180306_080003	SVM	0.398	female.gibbon
90	Spectrogram 1	1	3344.151	3349.782	500	1600	S17_20180306_080003	RF	0.348	female.gibbon
91	Spectrogram 1	1	3352.392	3362.272	500	1600	S17_20180306_080003	SVM	0.511	female.gibbon
92	Spectrogram 1	1	3352.392	3362.272	500	1600	S17_20180306_080003	RF	0.406	female.gibbon
93	Spectrogram 1	1	3376.943	3383.493	500	1600	S17_20180306_080003	SVM	0.631	female.gibbon
94	Spectrogram 1	1	3376.943	3383.493	500	1600	S17_20180306_080003	RF	0.646	female.gibbon
95	Spectrogram 1	1	3386.533	3394.693	500	1600	S17_20180306_080003	SVM	0.521	female.gibbon
96	Spectrogram 1	1	3386.533	3394.693	500	1600	S17_20180306_080003	RF	0.312	female.gibbon
97	Spectrogram 1	1	3399.493	3405.204	500	1600	S17_20180306_080003	SVM	0.334	female.gibbon
98	Spectrogram 1	1	3399.493	3405.204	500	1600	S17_20180306_080003	RF	0.334	female.gibbon
99	Spectrogram 1	1	3453.655	3462.585	500	1600	S17_20180306_080003	SVM	0.329	female.gibbon
100	Spectrogram 1	1	3453.655	3462.585	500	1600	S17_20180306_080003	RF	0.564	female.gibbon
